czech_word	english_translation	czech_sentence	english_sentence
věnovat	to devote	Věnuji se čtení každý večer.	I devote myself to reading every evening.
skutečně	really, truly	To je skutečně výborný nápad.	That is a really excellent idea.
vydat	to publish, to issue	Vydali novou knihu minulý měsíc.	They published a new book last month.
srdce	heart	Moje srdce bije rychle teď.	My heart beats quickly now.
postavit	to build	Chtějí postavit nový most zde.	They want to build a new bridge here.
vlas	hair (strand)	Má krásné dlouhé světlé vlasy.	He/She has beautiful long blond hair.
autor	author	Je známý autor detektivních příběhů.	He is a famous author of detective stories.
konečně	finally	Konečně jsme dorazili do cíle.	Finally we arrived at the destination.
láska	love	Láska je opravdu krásný pocit.	Love is a really beautiful feeling.
pražský	Prague (adj.)	Bydlí v krásném pražském bytě.	He lives in a beautiful Prague flat.
pomoc	help	Potřebuji tvou pomoc s tímto.	I need your help with this.
dodat	to add	Chci dodat ještě jednu věc.	I want to add one more thing.
polovina	half	Polovina práce je už hotová.	Half of the work is already done.
veřejný	public	To je veřejně přístupné místo.	That is a publicly accessible place.
nutný	necessary	To je naprosto nutný krok.	That is a completely necessary step.
dílo	work (of art)	To je jeho nejlepší umělecké dílo.	That is his best work of art.
schopný	capable	Je velmi schopný mladý člověk.	He is a very capable young person.
strom	tree	Vidím vysoký zelený strom tam.	I see a tall green tree there.
stránka	page, side	Čtu zajímavou stránku v knize.	I read an interesting page in the book.
rád	glad, fond of	Rád chodím na dlouhé procházky.	I like to go for long walks.
vytvořit	to create	Chci vytvořit něco opravdu nového.	I want to create something really new.
příběh	story	To je opravdu hezký romantický příběh.	That is a really nice romantic story.
zastavit	to stop	Zastav prosím auto u chodníku.	Please stop the car by the sidewalk.
jednoduchý	simple	To je velmi jednoduché řešení.	That is a very simple solution.
vývoj	development	Sleduji rychlý vývoj technologie.	I follow the rapid development of technology.
tvrdit	to claim	Tvrdí, že to nevěděl.	He claims that he didn't know.
společný	common, shared	Máme společný zájem na tom.	We have a common interest in that.
začátek	beginning	Na začátku filmu se smějeme.	At the beginning of the film we laugh.
odejít	to leave	Musím brzy odejít domů.	I must leave home soon.
pracovní	work (adj.)	To je běžný pracovní den.	That is a normal work day.
