natáčel	filmed	Kameramanem jsem natáčel pohyb s kamerou na rameni.	As a cameraman, I filmed motion with a camera on my shoulder.
třásla	trembled	Záběry byly ostré, i když se třásla ruka.	Shots were sharp, even when my hand trembled.
kreslil	drew	Ilustrátorem jsem kreslil obrázky do dětských knížek.	As an illustrator, I drew pictures for children's books.
smály	laughed	Děti se smály, když viděly mého skřítka.	Children laughed when they saw my little elf.
psal	wrote	Spisovatelem jsem psal romány a povídky na stroji.	As a writer, I wrote novels and short stories on a typewriter.
plynula	flowed	Slova plynula jako řeka, občas se zablokovala.	Words flowed like a river, occasionally jamming.
skládal	composed	Básníkem jsem skládal rýmy o lásce a o smrti.	As a poet, I composed rhymes about love and death.
mizely	disappeared	Verše mi přicházely ve snu, ale za svítání mizely.	Verses came to me in dreams, but at dawn they disappeared.
psal	wrote	Novinářem jsem psal články do novin o politice.	As a journalist, I wrote newspaper articles about politics.
bral	took	Lhali jsme všichni, ale já to bral jako hru.	We all lied, but I took it as a game.
běhal	ran	Reportérem jsem běhal s diktafonem po nehodách.	As a reporter, I ran with a dictaphone to accidents.
mlhavé	hazy	Mé otázky byly drsné, odpovědi mlhavé.	My questions were tough, the answers hazy.
opravoval	corrected	Redaktorem jsem opravoval texty jiných před tiskem.	As an editor, I corrected others' texts before printing.
rozmisťoval	placed	Čárky a tečky jsem rozmísťoval s láskou.	I placed commas and dots with love.
stříhal	cut	Editorem jsem stříhal filmy a spojoval scény dohromady.	As an editor, I cut films and joined scenes together.
význam	meaning	Každý střih měl význam, jako slova v básni.	Every cut had meaning, like words in a poem.
překládal	interpreted	Tlumočníkem jsem překládal řeči na konferencích.	As an interpreter, I translated speeches at conferences.
chytal	caught	Slova létala, ale já je chytal do sítí.	Words flew, but I caught them in nets.
překládal	translated	Překladatelem jsem překládal knihy z angličtiny a němčiny.	As a translator, I translated books from English and German.
neztratily	didn't lose	Hledal jsem ekvivalenty, jež by neztratily duši.	I looked for equivalents that wouldn't lose their soul.
stál	stood	Moderátorem jsem stál před kamerou a uváděl pořady.	As a host, I stood in front of the camera and introduced shows.
zvracel	was vomiting	Můj úsměv byl pěstěný, i když uvnitř jsem zvracel.	My smile was polished, even though inside I was vomiting.
četl	read	Hlasatelem jsem četl zprávy v rádiu hlubokým hlasem.	As an announcer, I read the news on the radio in a deep voice.
usínali	fell asleep	Posluchači usínali, zatímco já mluvil dál.	Listeners fell asleep while I kept talking.
stříhal	cut	Kadeřníkem jsem stříhal vlasy a tvaroval je do účesů.	As a hairdresser, I cut hair and shaped it into styles.
cvakaly	snapped	Nůžky cvakaly, vlasy padaly k zemi.	Scissors snapped, hair fell to the ground.
holil	shaved	Holičem jsem holil vousy žiletkou a pěnou.	As a barber, I shaved beards with a razor and foam.
neporanil	didn't cut	Kůže byla napnutá, abych neporanil tváře.	The skin was stretched so I wouldn't cut the faces.
čistil	cleansed	Kosmetičkou jsem čistil pleti a dělal masky z hlíny.	As a beautician, I cleansed skin and made clay masks.
líbaly	kissed	Ženy mi líbaly ruce za mladší vzhled.	Women kissed my hands for a younger look.
hnětl	kneaded	Masérem jsem hnětl svaly a uvolňoval napětí v těle.	As a masseur, I kneaded muscles and released tension in the body.
znaly	knew	Mé prsty znaly každý uzel bolesti.	My fingers knew every knot of pain.
oblékal	dressed	Stylistou jsem oblékal lidi do šatů a doplňků.	As a stylist, I dressed people in clothes and accessories.
zůstával	remained	Móda se měnila, ale já zůstával sám.	Fashion changed, but I remained alone.
maloval	painted	Vizážistou jsem maloval tváře hercům před kamerou.	As a make-up artist, I painted actors' faces before the camera.
vytvářely	created	Stíny a rtěnky vytvářely nové osobnosti.	Shadows and lipsticks created new personalities.
vytíral	mopped	Uklízečem jsem vytíral podlahy a vynášel odpadky.	As a cleaner, I mopped floors and took out rubbish.
skřípal	creaked	Můj vozík skřípal, ale lesk byl dokonalý.	My cart creaked, but the shine was perfect.
vybíral	collected	Popelářem jsem vybíral popelnice s autem na ulici.	As a dustman, I collected bins with the truck on the street.
děkovalo	thanked	Smrad byl odporný, ale město mi děkovalo.	The smell was disgusting, but the city thanked me.
staral	cared for	Domovníkem jsem se staral o dům a o topení.	As a caretaker, I cared for the house and the heating.
opravoval	repaired	Opravoval jsem výtahy, zatímco lidé spěchali.	I repaired lifts while people hurried.
otvíral	opened	Školníkem jsem otvíral školu a zamykal ji večer.	As a school janitor, I opened the school and locked it in the evening.
mávaly	waved	Děti mi mávaly, ač jsem byl jen stín.	Children waved at me, even though I was just a shadow.
sázel	planted	Zahradníkem jsem sázel růže a stříhal živé ploty.	As a gardener, I planted roses and trimmed hedges.
voněla	smelled	Země voněla po dešti, má práce byla klidná.	The earth smelled of rain, my work was peaceful.
oral	ploughed	Zemědělcem jsem oral pole a zaséval pšenici.	As a farmer, I ploughed fields and sowed wheat.
hučely	hummed	Kombajny hučely, úroda byla zlatá.	Combine harvesters hummed, the harvest was golden.
choval	raised	Farmářem jsem choval krávy a slepice na dvoře.	As a farmer, I raised cows and chickens in the yard.
budil	woke	Ráno mě budil kohout, večer vůně sena.	In the morning the rooster woke me, in the evening the scent of hay.
staral	cared for	Chovatelem jsem se staral o koně a o jejich hříbata.	As a breeder, I cared for horses and their foals.
česal	combed	Hřebce jsem česal, až srst zářila leskem.	I combed the stallions until their coats shone with gloss.
seděl	sat	Rybářem jsem seděl na břehu s prutem v ruce.	As a fisherman, I sat on the bank with a rod in my hand.
chytil	caught	Čekal jsem na kapry, ale chytil jen botu.	I waited for carp, but I only caught a boot.
hlídal	guarded	Lesníkem jsem hlídal stromy a zvěř v hlubokém lese.	As a forester, I guarded trees and game in the deep forest.
tichá	quiet	Moje chata byla malá, ale tichá.	My cottage was small but quiet.
stopoval	tracked	Myslivcem jsem stopoval jeleny a divoká prasata.	As a hunter, I tracked deer and wild boar.
střílel	shot	Střílel jsem jen na povel, les byl chrám.	I only shot on command; the forest was a temple.
pěstoval	grew	Vinařem jsem pěstoval révu na slunných stráních.	As a vintner, I grew vines on sunny slopes.
lisoval	pressed	Hrozny jsem lisoval, víno zrálo v sudech.	I pressed grapes; wine aged in barrels.
vařil	brewed	Pivovarníkem jsem vařil pivo z chmele a sladu.	As a brewer, I brewed beer from hops and malt.
hořká	bitter	Pěna byla bílá, chuť hořká jako život.	The foam was white, the taste bitter like life.
vedl	coached	Trenérem jsem vedl fotbalisty na zeleném trávníku.	As a coach, I led footballers on the green pitch.
neposlouchali	didn't listen	Pískal jsem na fauly, ale hráči mě neposlouchali.	I blew for fouls, but the players didn't listen.
běhal	ran	Sportovcem jsem běhal maratony a zvedal činky.	As an athlete, I ran marathons and lifted weights.
triumfem	triumph	Pot mi stékal po zádech, ale cílem byl triumf.	Sweat ran down my back, but the goal was triumph.
soudil	refereed	Rozhodčím jsem soudil zápasy s píšťalkou v puse.	As a referee, I officiated matches with a whistle in my mouth.
neúplatný	incorruptible	Fanoušci na mě řvali, ale zákon byl neúplatný.	Fans screamed at me, but the law was incorruptible.
učil	taught	Instruktorem jsem učil lyžování a snowboarding v horách.	As an instructor, I taught skiing and snowboarding in the mountains.
zvedal	picked up	Začátečníci padali, já je zvedal s úsměvem.	Beginners fell; I picked them up with a smile.
vodil	guided	Průvodcem jsem vodil turisty po hradech a zříceninách.	As a guide, I led tourists through castles and ruins.
vymýšlel	invented	Vyprávěl jsem legendy, jež jsem sám vymýšlel.	I told legends that I invented myself.
půjčoval	lent	Knihovníkem jsem půjčoval knihy a radil čtenářům.	As a librarian, I lent books and advised readers.
připomínal	reminded	Vůně starého papíru mi připomínala domov.	The smell of old paper reminded me of home.
třídil	sorted	Archivářem jsem třídil staré listiny v prašných bednách.	As an archivist, I sorted old documents in dusty boxes.
šeptal	whispered	Každý pergamen šeptal svůj zapomenutý příběh.	Every parchment whispered its forgotten story.
vystavoval	exhibited	Kurátorem jsem vystavoval obrazy a sochy v galerii.	As a curator, I exhibited paintings and sculptures in a gallery.
nerozuměl	didn't understand	Mluvil jsem o umění, i když jsem mu nerozuměl.	I spoke about art, even though I didn't understand it.
sloužil	served	Knězem jsem sloužil mše v kostele a zpovídal hříšníky.	As a priest, I served Mass in the church and confessed sinners.
plakaly	cried	Bůh byl svědkem, mé uši plakaly.	God was my witness; my ears wept.
nosil	wore	Jeptiškou jsem nosil řeholní hábit a modlil se růženec.	As a nun, I wore a monastic habit and prayed the rosary.
hlučné	loud	Žila jsem v tichu, ale srdce bylo hlučné.	I lived in silence, but my heart was loud.
opisoval	copied	Mnichem jsem opisoval bible v celách na hoře.	As a monk, I copied Bibles in cells on the mountain.
posvátná	sacred	Inkoust mi stékal po ruce, slova byla posvátná.	Ink ran down my hand; the words were sacred.
seděl	sat	Politikem jsem seděl v sněmovně a mluvil hodiny.	As a politician, I sat in parliament and spoke for hours.
nedodržel	didn't keep	Sliboval jsem hory doly, ale nedodržel nic.	I promised mountains and valleys, but I kept nothing.
jednal	negotiated	Diplomatem jsem jednal s cizinci o míru a obchodu.	As a diplomat, I negotiated with foreigners about peace and trade.
zuřil	raged	Usmíval jsem se, i když uvnitř zuřil vztek.	I smiled, even though rage was raging inside.
spravoval	managed	Starostou jsem spravoval malé město s rozpočtem.	As a mayor, I managed a small town with a budget.
opravoval	repaired	Otevíral jsem festivaly, opravoval cesty.	I opened festivals and repaired roads.
hlasoval	voted	Senátorem jsem hlasoval v horní komoře za zákony.	As a senator, I voted in the upper chamber for laws.
žhavé	heated	Káva byla studená, ale řeči žhavé.	Coffee was cold, but the speeches were heated.
navrhoval	proposed	Poslancem jsem navrhoval úpravy ústavy do noci.	As a deputy, I proposed constitutional amendments until night.
prázdná	empty	Můj stůl byl plný papírů, mysl prázdná.	My table was full of papers, my mind empty.
podívala	looked	Ája se na dědečka podívala s otevřenými ústy.	Ája looked at her grandfather with her mouth open.
uvěřit	believe	„Dědečku, tys dělal tolik věcí, že to nejde uvěřit!“	"Grandpa, you did so many things, it's unbelievable!"
zasmál	laughed	Karel se zasmál, pohladil ji po vlasech a řekl:	Karel laughed, stroked her hair and said:
vymyslel	invented	„Všechny ty profese jsem si vymyslel, abych tě pobavil.	"I made up all those professions to amuse you.
školníkem	school janitor	Ve skutečnosti jsem byl celý život jen školníkem na tvé škole.	In reality, I was only a school janitor at your school all my life.
nejlepší	best	A ta práce byla nejlepší, protože jsem každý den vídal tebe.	And that job was the best, because I saw you every day."
objala	hugged	Ája ho objala a šli pomalu domů po rozsvícených ulicích.	Ája hugged him and they walked slowly home along the lit streets.
našel	found	A tak starý muž našel smysl v jediné, poslední roli – dědeček.	And so the old man found meaning in a single, final role – grandfather.
