czech_word	english_translation	czech_sentence	english_sentence
minulý	last	Minulý týden jsem byl doma.	Last week I was home.
uvidět	to see	Když ho uvidím, řeknu mu pravdu.	When I see him, I will tell him the truth.
moderní	modern	Bydlíme v moderním bytě, který byl nedávno renovován.	We live in a modern apartment that was recently renovated.
blízký	close	V blízké budoucnosti bych chtěl změnit práci.	In the near future I would like to change jobs.
dosáhnout	to achieve	Abych dosáhl cíle, musím pracovat mnohem víc.	To achieve the goal, I must work much more.
zhruba	roughly	Zhruba o hodinu později začala schůzka.	Roughly an hour later the meeting began.
dívka	girl	Dívka, která tam seděla, se na mě usmála.	The girl who was sitting there smiled at me.
postel	bed	Po dlouhém dni jsem spadl do postele úplně vyčerpaný.	After a long day I fell into bed completely exhausted.
využít	to use	Využil jsem příležitost, která se už nemusí opakovat.	I used the opportunity that might not come again.
přinést	to bring	Přinesl jsem ti něco, o čem jsme včera mluvili.	I brought you something we talked about yesterday.
rovněž	also	Rovněž bych rád dodal, že to není konečné rozhodnutí.	I would also like to add that this is not the final decision.
běžný	common	Je to běžný problém, se kterým se setkává mnoho lidí.	It is a common problem many people encounter.
osobní	personal	Mám osobní důvod, proč o tom nechci mluvit.	I have a personal reason why I don't want to talk about it.
nabídka	offer	Nabídka, kterou jsem dostal, byla překvapivě výhodná.	The offer I received was surprisingly good.
pomalu	slowly	Pomalu jsem si začal uvědomovat, co se vlastně stalo.	Slowly I began to realize what had actually happened.
obrovský	huge	Obrovský rozdíl je v tom, jak k tomu přistoupíš.	The huge difference lies in how you approach it.
zvláštní	strange	Připadá mi zvláštní, že o tom nikdo neví.	It seems strange to me that nobody knows about it.
krev	blood	Krev mu tekla z ruky, protože se nešťastně pořezal.	Blood was running from his hand because he accidentally cut himself.
výroba	production	Výroba se zastavila, jelikož chyběly důležité součástky.	Production stopped because important components were missing.
neboť	because	Nemohl přijít, neboť měl naléhavou práci.	He couldn’t come because he had urgent work.
hranice	border	Překročili jsme hranice, aniž bychom si toho všimli.	We crossed the border without noticing it.
stěna	wall	Na stěně visí obraz, který jsem dostal od rodičů.	On the wall hangs a picture I got from my parents.
rada	advice	Dal mi radu, kterou jsem nakonec opravdu využil.	He gave me advice that I eventually really used.
slunce	sun	Slunce zapadlo dřív, než jsme dorazili domů.	The sun set before we arrived home.
červený	red	Měl na sobě červený kabát, který byl vidět na dálku.	He wore a red coat that could be seen from afar.
celkový	total	Celkový počet lidí byl vyšší, než jsme očekávali.	The total number of people was higher than we expected.
jo	yeah	Jo, přesně tak jsem to myslel.	Yeah, that’s exactly what I meant.
občas	sometimes	Občas se stane, že zapomenu, co jsem chtěl říct.	Sometimes it happens that I forget what I wanted to say.
rychlost	speed	Rychlost, kterou jel, byla nebezpečně vysoká.	The speed he was driving at was dangerously high.
manžel	husband	Manžel, který pracuje v zahraničí, přijede až příští týden.	The husband who works abroad will arrive next week.
řízení	driving	Při řízení se musíš soustředit, jinak uděláš chybu.	When driving you must concentrate, otherwise you will make a mistake.
dcera	daughter	Dcera mi řekla, že se chce přihlásit na nový kurz.	My daughter told me she wants to sign up for a new course.
finanční	financial	Finanční situace se zlepšila poté, co změnil práci.	The financial situation improved after he changed jobs.
příští	next	Příští měsíc bychom měli dokončit celý projekt.	Next month we should finish the whole project.
hudba	music	Hudba, kterou poslouchám, mi pomáhá soustředit se.	The music I listen to helps me concentrate.
příjemný	pleasant	Byl to příjemný večer, i když jsme nic zvláštního nedělali.	It was a pleasant evening even though we didn’t do anything special.
kvalita	quality	Kvalita výrobku je lepší, než jsem očekával.	The quality of the product is better than I expected.
přestat	to stop	Přestal jsem o tom přemýšlet, protože to nemělo smysl.	I stopped thinking about it because it made no sense.
sestra	sister	Sestra, která žije v Brně, přijede na víkend.	My sister who lives in Brno will come for the weekend.
jídlo	food	Jídlo, které připravila, chutnalo opravdu skvěle.	The food she prepared tasted really great.
vůz	car	Vůz, který jsme si půjčili, byl překvapivě pohodlný.	The car we rented was surprisingly comfortable.
rychlý	fast	Byl tak rychlý, že ho nikdo nedokázal dohonit.	He was so fast that nobody could catch him.
skutečný	real	Skutečný problém spočívá v tom, že nemáme dost času.	The real problem lies in the fact that we don’t have enough time.
milovat	to love	Miluju chvíle, kdy můžu být úplně sám.	I love moments when I can be completely alone.
obličej	face	Podle jeho obličeje bylo jasné, že se mu to nelíbí.	From his face it was clear he didn’t like it.
představa	idea	Představa, že bych tam měl pracovat, mě trochu děsí.	The idea that I should work there scares me a bit.
dosud	so far	Dosud jsme nenašli nic, co by nám pomohlo.	So far we haven’t found anything that would help us.
tvar	shape	Tvar, který vidíš, není úplně pravidelný.	The shape you see is not completely regular.
napadnout	to occur	Napadlo mě, že bychom to mohli udělat jinak.	It occurred to me that we could do it differently.
datum	date	Datum, které jsi uvedl, nesedí.	The date you provided doesn’t match.
takhle	like this	Takhle to dělat nemůžeš, jinak se to pokazí.	You can’t do it like this, otherwise it will break.
původní	original	Původní plán jsme museli změnit kvůli počasí.	We had to change the original plan because of the weather.
zpátky	back	Vrátil jsem se zpátky domů, protože jsem něco zapomněl.	I went back home because I forgot something.
název	name	Název knihy si nepamatuju, ale byla skvělá.	I don’t remember the book’s name, but it was great.
návrh	proposal	Návrh, který předložil, byl překvapivě dobrý.	The proposal he submitted was surprisingly good.
zrovna	just	Zrovna jsem o tobě přemýšlel, když jsi zavolal.	I was just thinking about you when you called.
hvězda	star	Hvězda, která dnes září, je neobvykle jasná.	The star shining today is unusually bright.
kolik	how much	Kolik času bys potřeboval, abys to dokončil?	How much time would you need to finish it?
tzv	so‑called	Ten tzv. problém je ve skutečnosti docela jednoduchý.	The so‑called problem is actually quite simple.
dvacet	twenty	Dvacet minut jsem čekal, než se objevil.	I waited twenty minutes before he appeared.
obvykle	usually	Obvykle vstávám dřív, ale dnes jsem zaspal.	I usually get up earlier, but today I overslept.
bratr	brother	Bratr, kterého znáš, přijede až večer.	My brother whom you know will arrive in the evening.
náklad	cost	Náklad na opravu byl vyšší, než jsme čekali.	The cost of the repair was higher than we expected.
pochopit	to understand	Po chvíli jsem pochopil, co tím myslel.	After a moment I understood what he meant.
duch	spirit	Duch města je úplně jiný než dřív.	The spirit of the city is completely different than before.
pacient	patient	Pacient, kterého léčí, se pomalu zotavuje.	The patient he treats is slowly recovering.
kluk	boy	Kluk, co tam stál, vypadal nervózně.	The boy who stood there looked nervous.
místo	place	Místo, kde jsme se sešli, bylo tiché.	The place where we met was quiet.
jakýkoli	any	Můžeš si vybrat jakýkoli způsob, který ti vyhovuje.	You can choose any method that suits you.
politika	politics	Politika, o které mluví, je dost komplikovaná.	The politics he talks about is quite complicated.
měnit	to change	Měním plán podle toho, co se právě děje.	I change the plan according to what is happening.
třída	class	Třída, do které chodí, je velmi aktivní.	The class he attends is very active.
smlouva	contract	Smlouva, kterou podepsali, platí tři roky.	The contract they signed is valid for three years.
prostředek	means	Je to prostředek, díky kterému to můžeme dokončit.	It is a means through which we can finish it.
zelený	green	Měl zelený kabát, který byl vidět na dálku.	He had a green coat that could be seen from afar.
zajímat	to interest	Zajímá mě, jak to vlastně funguje.	I’m interested in how it actually works.
strach	fear	Měl strach, že to nezvládne.	He was afraid he wouldn’t manage it.
nacházet	to find	Nacházím v tom víc smyslu, než jsem čekal.	I find more meaning in it than I expected.
všimnout	to notice	Všiml jsem si, že se chová jinak než obvykle.	I noticed he behaves differently than usual.
odpověď	answer	Odpověď, kterou jsem dostal, mě překvapila.	The answer I got surprised me.
okolí	surroundings	Okolí domu je velmi klidné.	The surroundings of the house are very calm.
onen	that	Onen člověk, o kterém jsme mluvili, už odešel.	That person we talked about has already left.
péče	care	Péče, kterou poskytují, je opravdu kvalitní.	The care they provide is really high‑quality.
přístup	approach	Přístup, který zvolil, byl velmi praktický.	The approach he chose was very practical.
řešit	to solve	Snažím se řešit problém, který vznikl včera.	I’m trying to solve the problem that arose yesterday.
organizace	organization	Organizace, která to pořádá, je známá.	The organization that hosts it is well‑known.
pustit	to let go	Pustil jsem to, protože už to nemělo cenu.	I let it go because it no longer made sense.
vysvětlit	to explain	Vysvětlil jsem mu, proč to tak děláme.	I explained to him why we do it this way.
podobně	similarly	Podobně jako ty, i já mám málo času.	Similarly to you, I also have little time.
využívat	to use regularly	Využívám systém, který nám práci výrazně zjednodušuje.	I use a system that greatly simplifies our work.
obyvatel	inhabitant	Obyvatel města je stále víc.	There are more and more inhabitants in the city.
přijet	to arrive	Přijel později, než slíbil.	He arrived later than he promised.
radost	joy	Měl radost, že se to konečně podařilo.	He was happy that it finally succeeded.
postupně	gradually	Postupně jsem si na to začal zvykat.	Gradually I began to get used to it.
daný	given	V dané situaci nemůžeme udělat víc.	In the given situation we cannot do more.
ať	let	Ať si říká, co chce, stejně to udělám.	Let him say what he wants, I’ll do it anyway.
záda	back	Bolí mě záda, protože jsem dlouho seděl.	My back hurts because I sat for a long time.
metoda	method	Metoda, kterou používáme, je velmi efektivní.	The method we use is very effective.
mrtvý	dead	Mrtvý strom museli odstranit.	The dead tree had to be removed.
ministerstvo	ministry	Ministerstvo oznámilo nové změny.	The ministry announced new changes.
silnice	road	Silnice, po které jedeme, je v rekonstrukci.	The road we are driving on is under reconstruction.
poslat	to send	Poslal jsem ti dokument, který potřebuješ.	I sent you the document you need.
rozhodně	definitely	Rozhodně to není tak jednoduché, jak to vypadá.	It definitely isn’t as simple as it looks.
student	student	Student, který sedí vzadu, se hlásil.	The student sitting in the back raised his hand.
ministr	minister	Ministr představil nový plán.	The minister presented a new plan.
studium	study	Studium, které dokončil, mu otevřelo nové možnosti.	The studies he completed opened new opportunities.
přát	to wish	Přeju ti, aby se ti to podařilo.	I wish you that you succeed.
ztratit	to lose	Ztratil jsem něco, co pro mě bylo důležité.	I lost something that was important to me.
postava	character	Postava v knize se chovala velmi zvláštně.	The character in the book behaved very strangely.
ukazovat	to show regularly	Ukazuje mi, jak to mám správně dělat.	He shows me how to do it correctly.
mnohý	many	Mnohý člověk by to nezvládl.	Many people wouldn’t manage it.
příklad	example	Příklad, který uvedl, byl velmi názorný.	The example he gave was very illustrative.
prohlásit	to declare	Prohlásil, že je připraven začít.	He declared he is ready to begin.
list	leaf	List ze stromu spadl na zem.	A leaf from the tree fell to the ground.
večer	evening	Večer, když je ticho, se mi pracuje nejlépe.	In the evening, when it’s quiet, I work best.
hora	mountain	Hora, kterou vidíš, je nejvyšší v okolí.	The mountain you see is the highest in the area.
zemřít	to die	Zemřel, aniž by kdokoli tušil proč.	He died without anyone knowing why.
pomocí	using	Pomocí této metody to zvládneme rychleji.	Using this method we will manage it faster.
otočit	to turn	Otočil se, jako by něco slyšel.	He turned as if he heard something.
ráno	morning	Ráno, když vstanu, potřebuji kávu.	In the morning, when I wake up, I need coffee.
šance	chance	Šance, že to vyjde, je docela vysoká.	The chance that it works out is quite high.
zeď	wall	Zeď byla tak vysoká, že jsme ji nemohli překročit.	The wall was so high we couldn’t cross it.
velice	very	Velice mě překvapilo, jak rychle to udělal.	I was very surprised how quickly he did it.
odpovídat	to correspond	To neodpovídá tomu, co jsme si domluvili.	This doesn’t correspond to what we agreed on.
úspěch	success	Úspěch závisí na tom, jak se připravíš.	Success depends on how you prepare.
šéf	boss	Šéf, kterého znáš, odešel do důchodu.	The boss you know retired.
provoz	operation	Provoz byl omezen kvůli opravám.	Operation was limited due to repairs.
úkol	task	Úkol, který jsem dostal, je poměrně náročný.	The task I received is quite demanding.
teplota	temperature	Teplota klesla, protože se blíží noc.	The temperature dropped because night is approaching.
schopnost	ability	Schopnost učit se rychle je velká výhoda.	The ability to learn quickly is a big advantage.
bezpečný	safe	Je to bezpečný postup, pokud dodržíš pravidla.	It is a safe procedure if you follow the rules.
bavit	to enjoy	Baví mě, když můžu pracovat na něčem, co dává smysl.	I enjoy it when I can work on something that makes sense.
položit	to put down	Položil jsem knihu na stůl, aby ji všichni viděli.	I put the book on the table so everyone could see it.
víno	wine	Víno, které jsme včera pili, bylo překvapivě dobré.	The wine we drank yesterday was surprisingly good.
význam	meaning	Význam toho slova jsem pochopil až později.	I understood the meaning of that word only later.
naprosto	absolutely	To je naprosto jasné, i když se to zdá složité.	That is absolutely clear, even though it seems complicated.
sedm	seven	Sedm lidí čekalo venku, než jsme otevřeli dveře.	Seven people waited outside until we opened the door.
jmenovat	to name	Jmenoval několik důvodů, proč to nechce udělat.	He named several reasons why he doesn’t want to do it.
kultura	culture	Kultura, ve které vyrůstáš, tě ovlivní víc, než si myslíš.	The culture you grow up in influences you more than you think.
výzkum	research	Výzkum ukázal, že výsledky nejsou úplně přesné.	The research showed that the results are not entirely accurate.
vysoko	high	Vysoko nad námi letěl pták, kterého jsem sotva viděl.	A bird flew high above us, and I could barely see it.
území	territory	Území, o které se jedná, je velmi rozlehlé.	The territory in question is very vast.
vyprávět	to tell story	Vyprávěl mi příběh, který jsem ještě nikdy neslyšel.	He told me a story I had never heard before.
pozice	position	Pozice, kterou zastává, je velmi zodpovědná.	The position he holds is very responsible.
příležitost	opportunity	Příležitost, která se naskytla, se už nemusí opakovat.	The opportunity that appeared may not come again.
okamžitě	immediately	Okamžitě jsem pochopil, že je něco špatně.	I immediately understood that something was wrong.
zaměstnanec	employee	Zaměstnanec, který tam pracuje nejdéle, všechno zná.	The employee who has worked there the longest knows everything.
letošní	this year's	Letošní výsledky jsou lepší než ty loňské.	This year's results are better than last year's.
konkrétní	specific	Konkrétní problém, který řešíme, je poměrně složitý.	The specific problem we are solving is quite complex.
někde	somewhere	Někde jsem ten dokument viděl, ale nemůžu si vzpomenout kde.	I saw that document somewhere, but I can’t remember where.
chovat	to behave	Choval se tak, jako by se nic nestalo.	He behaved as if nothing had happened.
nabídnout	to offer	Nabídl mi pomoc, i když jsem o ni nežádal.	He offered me help even though I didn’t ask for it.
příprava	preparation	Příprava na zkoušku trvala déle, než jsem čekal.	Preparation for the exam took longer than I expected.
čelo	forehead	Měl na čele kapku potu, protože byl nervózní.	He had a drop of sweat on his forehead because he was nervous.
týkat	to concern	To se týká všech, kteří se projektu účastní.	This concerns everyone who participates in the project.
večer	evening	Večer, když se setmí, město působí úplně jinak.	In the evening, when it gets dark, the city feels completely different.
závěr	conclusion	Závěr, ke kterému jsme dospěli, je jednoznačný.	The conclusion we reached is clear.
obsahovat	to contain	Text obsahuje informace, které jsou důležité pro rozhodnutí.	The text contains information that is important for the decision.
přijmout	to accept	Přijal nabídku, i když měl určité pochybnosti.	He accepted the offer even though he had some doubts.
ochrana	protection	Ochrana osobních údajů je pro nás zásadní.	Protection of personal data is essential for us.
vážně	seriously	Vážně jsem uvažoval o tom, že odejdu.	I seriously considered leaving.
půda	soil	Půda byla tak tvrdá, že jsme ji nemohli zorat.	The soil was so hard that we couldn’t plow it.
zbytek	rest	Zbytek práce dokončíme zítra, až bude čas.	The rest of the work we’ll finish tomorrow when we have time.
pozornost	attention	Dal jsem tomu pozornost, kterou si to opravdu zasloužilo.	I gave it the attention it truly deserved.
máma	mom	Máma mi řekla, že mám přijít dřív.	Mom told me to come earlier.
papír	paper	Papír, který jsi hledal, byl celou dobu na stole.	The paper you were looking for was on the table the whole time.
trenér	coach	Trenér, který nás vede, má spoustu zkušeností.	The coach who leads us has a lot of experience.
rozhovor	conversation	Rozhovor trval déle, než jsme původně plánovali.	The conversation lasted longer than we originally planned.
umění	art	Umění, které tvoří, je velmi osobité.	The art he creates is very distinctive.
následující	following	Následující kroky budou mnohem náročnější.	The following steps will be much more demanding.
předmět	object	Předmět, který držíš, je velmi cenný.	The object you are holding is very valuable.
řeka	river	Řeka, která tudy protéká, je poměrně široká.	The river that flows here is quite wide.
dětský	children's	Dětský pokoj byl plný hraček.	The children's room was full of toys.
článek	article	Článek, který jsem četl, byl velmi dobře napsaný.	The article I read was very well written.
stroj	machine	Stroj přestal fungovat, protože se přehřál.	The machine stopped working because it overheated.
kůň	horse	Kůň, na kterém jel, byl velmi rychlý.	The horse he rode was very fast.
aplikace	application	Aplikace, kterou používám, se často aktualizuje.	The application I use updates frequently.
příroda	nature	Příroda v této oblasti je opravdu nádherná.	Nature in this area is truly beautiful.
výraz	expression	Výraz v jeho tváři naznačoval, že je nervózní.	The expression on his face suggested he was nervous.
bolest	pain	Bolest, kterou cítil, byla stále silnější.	The pain he felt kept getting stronger.
veškerý	all	Veškerý materiál jsme už použili.	We have already used all the material.
návštěva	visit	Návštěva, která přijela, se zdrží jen krátce.	The visitors who arrived will stay only briefly.
docházet	to occur	Dochází k situacím, které jsme nečekali.	Situations we didn’t expect are occurring.
podstata	essence	Podstata problému je úplně jinde, než si myslíš.	The essence of the problem is somewhere else than you think.
osm	eight	Osm lidí se přihlásilo do kurzu.	Eight people signed up for the course.
m	meter	Mám 2 m látky, což by mělo stačit.	I have 2 meters of fabric, which should be enough.
poměrně	rather	Je to poměrně složité, ale dá se to zvládnout.	It’s rather complicated, but it can be managed.
chování	behavior	Chování, které předvedl, bylo nepřijatelné.	The behavior he showed was unacceptable.
rozvoj	development	Rozvoj města pokračuje rychleji než dřív.	The development of the city continues faster than before.
společně	together	Společně jsme dokázali něco, co by nikdo nečekal.	Together we achieved something nobody expected.
chlapec	boy	Chlapec, který tam seděl, se pořád usmíval.	The boy who sat there kept smiling.
celkem	total	Celkem jsme strávili tři hodiny čekáním.	In total we spent three hours waiting.
obsah	content	Obsah dokumentu je důležitý pro další postup.	The content of the document is important for the next steps.
samý	all the same	Samý problém se opakuje pořád dokola.	The same problem keeps repeating over and over.
televize	television	Televize, kterou jsme koupili, má skvělý obraz.	The television we bought has a great picture.
závod	race	Závod, který se konal včera, byl velmi napínavý.	The race that took place yesterday was very exciting.
připomínat	to remind	Připomíná mi to situaci, kterou jsme řešili loni.	It reminds me of a situation we dealt with last year.
objekt	object	Objekt, který vidíš, je stará továrna.	The object you see is an old factory.
nástroj	tool	Nástroj, který používáme, je velmi přesný.	The tool we use is very precise.
naučit	to learn	Naučil jsem se to až poté, co jsem několikrát selhal.	I learned it only after failing several times.
značka	brand	Značka, kterou preferuji, je spolehlivá.	The brand I prefer is reliable.
kůže	skin	Kůže na jeho rukou byla velmi suchá.	The skin on his hands was very dry.
pozorovat	to observe	Pozoroval jsem, jak se situace postupně mění.	I observed how the situation gradually changed.
vloni	last year	Vloni jsme cestovali mnohem víc než letos.	Last year we traveled much more than this year.
mezinárodní	international	Mezinárodní spolupráce je pro projekt klíčová.	International cooperation is key for the project.
desítka	ten-group	Desítka lidí čekala před budovou.	A group of ten people waited in front of the building.
nicméně	however	Nicméně musíme počkat, než dostaneme další informace.	However, we must wait until we get more information.
ven	outside	Vyšel jsem ven, abych se nadechl čerstvého vzduchu.	I went outside to get some fresh air.
tentokrát	this time	Tentokrát to dopadlo lépe, než jsem čekal.	This time it turned out better than I expected.
manželka	wife	Manželka, která pracuje doma, dnes nemá čas.	The wife who works from home doesn’t have time today.
přestože	although	Přestože pršelo, rozhodli jsme se pokračovat.	Although it was raining, we decided to continue.
tradiční	traditional	Tradiční jídlo, které jsme jedli, bylo výborné.	The traditional food we ate was excellent.
zvuk	sound	Zvuk, který jsem slyšel, byl velmi tichý.	The sound I heard was very quiet.
vlna	wave	Vlna, která se přiblížila, byla nečekaně vysoká.	The wave that approached was unexpectedly high.
zavolat	to call	Zavolal jsem mu, aby věděl, že přijdu později.	I called him so he would know I’d arrive later.
úspěšný	successful	Úspěšný projekt vyžaduje dobré plánování.	A successful project requires good planning.
technický	technical	Technický problém způsobil velké zpoždění.	A technical problem caused a big delay.
dokud	until	Dokud to nedokončíme, nemůžeme odejít.	Until we finish it, we cannot leave.
bohužel	unfortunately	Bohužel se nám nepodařilo najít řešení.	Unfortunately we didn’t manage to find a solution.
stupeň	degree	Stupeň obtížnosti je vyšší, než se zdá.	The degree of difficulty is higher than it seems.
pohybovat	to move	Pohyboval se tak opatrně, jako by se bál.	He moved so carefully as if he were afraid.
táta	dad	Táta mi řekl, že mám být opatrný.	Dad told me to be careful.
výrazně	significantly	Výrazně se to zlepšilo poté, co jsme změnili postup.	It improved significantly after we changed the procedure.
nést	to carry	Nesl tašku, která byla nečekaně těžká.	He carried a bag that was unexpectedly heavy.
vzhledem	considering	Vzhledem k situaci je to nejlepší řešení.	Considering the situation, it is the best solution.
pamatovat	to remember	Pamatuju si, že jsme o tom už mluvili.	I remember that we already talked about it.
umožňovat	to enable	Systém umožňuje, aby se data sdílela automaticky.	The system enables the data to be shared automatically.
deska	board	Deska, na které píšeš, je příliš malá.	The board you are writing on is too small.
voják	soldier	Voják, který tam stál, vypadal unaveně.	The soldier who stood there looked tired.
dolů	down	Slez dolů, než se něco stane.	Come down before something happens.
řeč	speech	Řeč, kterou pronesl, byla velmi přesvědčivá.	The speech he delivered was very convincing.
vrstva	layer	Vrstva prachu pokryla celý stůl.	A layer of dust covered the entire table.
modrý	blue	Měl modrý kabát, který jsem hned poznal.	He had a blue coat that I recognized immediately.
kilometr	kilometer	Ušli jsme několik kilometrů, než jsme dorazili.	We walked several kilometers before we arrived.
sto	hundred	Sto lidí se zúčastnilo konference.	A hundred people attended the conference.
univerzita	university	Univerzita, na které studuje, je velmi prestižní.	The university he studies at is very prestigious.
čistý	clean	Čistý vzduch mi pomohl cítit se lépe.	Clean air helped me feel better.
provést	to carry out	Provedl jsem změny, které byly nutné.	I carried out the changes that were necessary.
proto	therefore	Proto jsme se rozhodli pokračovat jinak.	Therefore we decided to continue differently.
úprava	adjustment	Úprava systému zabrala víc času, než jsme čekali.	The adjustment of the system took more time than we expected.
kamarád	friend	Kamarád, kterého znáš, přijde později.	The friend you know will come later.
jakmile	as soon as	Jakmile to dokončíme, můžeme odejít.	As soon as we finish it, we can leave.
chuť	taste	Chuť jídla byla mnohem lepší než obvykle.	The taste of the food was much better than usual.
uvědomit	to realize	Uvědomil jsem si chybu.	I realized the mistake.
zákazník	customer	Zákazník čeká venku.	The customer waits outside.
aktivita	activity	Aktivita trvala krátce.	The activity lasted briefly.
historie	history	Historie mě baví.	History interests me.
snímek	snapshot	Snímek byl rozmazaný.	The snapshot was blurry.
banka	bank	Banka dnes zavřela.	The bank closed today.
událost	event	Událost byla významná.	The event was significant.
prvek	element	Prvek chybí úplně.	The element is completely missing.
povrch	surface	Povrch je hladký.	The surface is smooth.
kousek	piece	Kousek chleba zbyl.	A piece of bread remained.
spojený	connected	Oba problémy jsou spojené.	Both problems are connected.
loď	ship	Loď odplula ráno.	The ship sailed in the morning.
dít	to happen	Co se tady děje.	What is happening here.
vysvětlovat	to explain	Vysvětluju látku pomalu.	I explain the material slowly.
jezdit	to ride	Jezdím tam denně.	I ride there daily.
vracet	to return	Vracím se domů.	I’m returning home.
ať	let	Ať to udělá hned.	Let him do it now.
chyba	mistake	Chyba byla velká.	The mistake was big.
šťastný	happy	Jsem dnes šťastný.	I am happy today.
minulost	past	Minulost je pryč.	The past is gone.
aspoň	at least	Aspoň něco udělej.	Do at least something.
moře	sea	Moře je klidné.	The sea is calm.
podnik	business	Podnik rychle roste.	The business grows quickly.
špatně	badly	Cítím se špatně.	I feel bad.
proud	stream	Proud vody sílí.	The water stream strengthens.
snadno	easily	Snadno to opravím.	I can fix it easily.
přicházet	to come	Přichází pozdě často.	He comes late often.
chápat	to understand	Chápu to správně.	I understand it correctly.
miliarda	billion	Má miliardu korun.	He has a billion crowns.
správný	correct	Správný postup pomáhá.	The correct procedure helps.
krátký	short	Krátký text stačí.	The short text is enough.
pole	field	Pole je prázdné.	The field is empty.
většinou	mostly	Většinou chodím pěšky.	I mostly walk.
najednou	suddenly	Najednou to zmizelo.	Suddenly it disappeared.
divadlo	theatre	Divadlo bylo plné.	The theatre was full.
letos	this year	Letos začnu znovu.	This year I’ll start again.
pravý	right	Pravý bok bolí.	My right side hurts.
prezident	president	Prezident vystoupil dnes.	The president spoke today.
zahrada	garden	Zahrada je krásná.	The garden is beautiful.
střední	middle	Střední část chybí.	The middle part is missing.
číst	to read	Čtu každý večer.	I read every evening.
nemocnice	hospital	Nemocnice je plná.	The hospital is full.
připadat	to seem	Připadá mi to zvláštní.	It seems strange to me.
vliv	influence	Vliv byl silný.	The influence was strong.
samotný	alone	Samotný člověk čekal.	The lone person waited.
soutěž	competition	Soutěž začala včera.	The competition started yesterday.
policie	police	Policie přijela rychle.	The police arrived quickly.
věk	age	Věk nehraje roli.	Age doesn’t matter.
včetně	including	Včetně mě tam byli.	Including me, they were there.
široký	wide	Široký most stojí.	The wide bridge stands.
životní	life-related	Životní styl pomáhá.	The lifestyle helps.
pes	dog	Pes běží venku.	The dog runs outside.
zvíře	animal	Zvíře se schovalo.	The animal hid.
použít	to use	Použiju to zítra.	I’ll use it tomorrow.
spousta	a lot	Spousta lidí odešla.	A lot of people left.
prst	finger	Prst mě bolí.	My finger hurts.
zapomenout	to forget	Zapomněl jsem klíče.	I forgot my keys.
smět	to be allowed	Smím odejít brzy.	I’m allowed to leave early.
obchod	shop	Obchod je zavřený.	The shop is closed.
půl	half	Půl práce zbývá.	Half the work remains.
text	text	Text je krátký.	The text is short.
postup	procedure	Postup byl správný.	The procedure was correct.
ani	not even	Ani jsem nepřišel.	I didn’t even come.
téma	topic	Téma je složité.	The topic is complex.
vedení	leadership	Vedení rozhodlo rychle.	The leadership decided quickly.
líbit	to like	Líbí se mi to.	I like it.
budova	building	Budova je stará.	The building is old.
ptát	to ask	Ptám se na cestu.	I ask for directions.
telefon	phone	Telefon zvoní dlouho.	The phone rings long.
koupit	to buy	Koupím nový stůl.	I’ll buy a new table.
fungovat	to function	Funguje to správně.	It works correctly.
plocha	area	Plocha je velká.	The area is large.
včera	yesterday	Včera jsem tam byl.	I was there yesterday.
zvednout	to lift	Zvedl těžký kufr.	He lifted a heavy suitcase.
místnost	room	Místnost je prázdná.	The room is empty.
rodinný	family	Rodinný dům, ve kterém žijí, je velmi starý.	The family house they live in is very old.
speciální	special	Speciální nabídka platí jen do konce týdne.	The special offer is valid only until the end of the week.
živý	alive	Byl živý, i když to vypadalo beznadějně.	He was alive even though it looked hopeless.
těšit	to look forward	Těším se, až to konečně dokončíme.	I look forward to finally finishing it.
doktor	doctor	Doktor, který mě ošetřoval, byl velmi milý.	The doctor who treated me was very kind.
výběr	selection	Výběr možností je mnohem širší než dřív.	The selection of options is much broader than before.
s	with	S tím už nic neuděláme.	We can’t do anything about that anymore.
vzpomínat	to remember	Vzpomínám na chvíle, kdy jsme spolu pracovali.	I remember the moments when we worked together.
štěstí	luck	Měl jsem štěstí, že jsem tam byl včas.	I was lucky that I was there on time.
úsměv	smile	Úsměv na jeho tváři zmizel, když to slyšel.	The smile on his face disappeared when he heard it.
vlastnost	trait	Vlastnost, kterou si na něm cením, je trpělivost.	The trait I value in him is patience.
kvalitní	high-quality	Kvalitní materiál vydrží mnohem déle.	High-quality material lasts much longer.
dovolit	to allow	Nemůžu si dovolit čekat další týden.	I cannot afford to wait another week.
jednotka	unit	Jednotka, kterou používáme, je standardní.	The unit we use is standard.
mluvčí	spokesperson	Mluvčí oznámil, že se situace změnila.	The spokesperson announced that the situation has changed.
obchodní	business	Obchodní jednání trvalo celý den.	The business meeting lasted all day.
tolik	so much	Nemám tolik času, kolik bych potřeboval.	I don’t have as much time as I would need.
nikoli	not	Nikoli já, ale on to musí udělat.	Not me, but him — he must do it.
růst	growth	Růst firmy je rychlejší, než se očekávalo.	The company’s growth is faster than expected.
rostlina	plant	Rostlina, kterou jsem zasadil, se pomalu rozrůstá.	The plant I planted is slowly growing.
prosit	to ask	Musím prosit o pomoc.	I must ask for help.
volný	free	Mám dnes volný den.	I have a free day today.
sloužit	to serve	Tento nástroj má sloužit lidem.	This tool is meant to serve people.
pomáhat	to help	Rád pomáhám kamarádům.	I like helping friends.
počítat	to count	Dítě se učí počítat do deseti.	The child learns to count to ten.
látka	material	Ta látka je velmi jemná.	That fabric is very soft.
